Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Topic)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Topic)	KC Category (Topic)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	Event Type
1	All Data	639ca96234698a4bbecf9e05022ea948	Stu_060c394a8c35c3da962c3ca502c3358e	19025	2019-09-25 16:26:31	America/New_York	0	ATTEMPT				Arithmetic_Operations	jDivision	1	2019-09-25 16:26:31	jDivision-3	1	1	CORRECT								DivideExpression		DoubleDataType		SimpleAssignmentExpression																Arithmetic_Operations		Single-KC						
2	All Data	06969a6b4fb90a53d1aeced5cee67f50	Stu_060c394a8c35c3da962c3ca502c3358e	19025	2019-09-25 16:26:50	America/New_York	6.333	ATTEMPT				Arithmetic_Operations	jDivision	1	2019-09-25 16:26:31	jDivision-4	1	0	CORRECT								DivideExpression		DoubleDataType		SimpleAssignmentExpression																Arithmetic_Operations		Single-KC						
3	All Data	2638a24558fd4e8a548f1181f1435fbe	Stu_060c394a8c35c3da962c3ca502c3358e	19025	2019-09-25 16:26:50	America/New_York	6.333	ATTEMPT				Arithmetic_Operations	jDivision	1	2019-09-25 16:26:31	jDivision-4	2	0	INCORRECT								DivideExpression		DoubleDataType		SimpleAssignmentExpression																Arithmetic_Operations		Single-KC						
4	All Data	635cd77bd82633e496c23b48cdad46ec	Stu_060c394a8c35c3da962c3ca502c3358e	19025	2019-09-25 16:26:50	America/New_York	6.333	ATTEMPT				Arithmetic_Operations	jDivision	1	2019-09-25 16:26:31	jDivision-4	3	1	INCORRECT								DivideExpression		DoubleDataType		SimpleAssignmentExpression																Arithmetic_Operations		Single-KC						
5	All Data	cd2bf30bfecad6cc3ad546e3984ef681	Stu_060c394a8c35c3da962c3ca502c3358e	19025	2019-09-25 16:26:59	America/New_York	9	ATTEMPT				Arithmetic_Operations	jDivision	1	2019-09-25 16:26:31	jDivision-6	1	1	CORRECT								ActualMethodParameter		AddExpression		ExplicitTypeCasting		IntDataType		SimpleAssignmentExpression		java.lang.Math.round										Arithmetic_Operations		Single-KC						
6	All Data	2ed5d3ad5a60ec6cb12b9b56e9da976e	Stu_060c394a8c35c3da962c3ca502c3358e	19025	2019-09-25 16:27:29	America/New_York	15	ATTEMPT				Arithmetic_Operations	jDivision	1	2019-09-25 16:26:31	jDivision-7	1	0	CORRECT								ActualMethodParameter		java.lang.System.out.println																		Arithmetic_Operations		Single-KC						
7	All Data	711b42b953352d0a01e4b5c2d95bc0aa	Stu_060c394a8c35c3da962c3ca502c3358e	19025	2019-09-25 16:27:29	America/New_York	15	ATTEMPT				Arithmetic_Operations	jDivision	1	2019-09-25 16:26:31	jDivision-7	2	1	INCORRECT								ActualMethodParameter		java.lang.System.out.println																		Arithmetic_Operations		Single-KC						
8	All Data	ae107e3882396f140cf85ec720c814bf	Stu_060c394a8c35c3da962c3ca502c3358e	19025	2019-09-25 16:27:31	America/New_York	2	ATTEMPT				Arithmetic_Operations	jDivision	1	2019-09-25 16:26:31	jDivision-8	1	1	CORRECT								ActualMethodParameter		AddExpression		ExplicitTypeCasting		IntDataType		SimpleAssignmentExpression		java.lang.Math.round										Arithmetic_Operations		Single-KC						
9	All Data	474117bdf1f4aa46e97d90b2e61bc47b	Stu_060c394a8c35c3da962c3ca502c3358e	19025	2019-09-25 16:27:32	America/New_York	1	ATTEMPT				Arithmetic_Operations	jDivision	1	2019-09-25 16:26:31	jDivision-9	1	1	CORRECT								ActualMethodParameter		java.lang.System.out.println																		Arithmetic_Operations		Single-KC						
10	All Data	b3d2d2fd4f8279e3d21912d1fedd7f17	Stu_0820b5c85b07c3c57f0dfc75abb7afaa	DCF15	2020-02-11 22:12:53	America/New_York	0	ATTEMPT				Arithmetic_Operations	jPostDecrement	1	2020-02-11 22:12:53	jPostDecrement-4	1	1	CORRECT								IntDataType		SimpleAssignmentExpression																		Arithmetic_Operations		Single-KC		KC34				
11	All Data	41fc1613de5f764cc0672071631e0ca2	Stu_0820b5c85b07c3c57f0dfc75abb7afaa	DCF15	2020-02-11 22:12:56	America/New_York	3	ATTEMPT				Arithmetic_Operations	jPostDecrement	1	2020-02-11 22:12:53	jPostDecrement-5	1	0	CORRECT								IntDataType		PostDecrementExpression		SimpleAssignmentExpression																Arithmetic_Operations		Single-KC		KC21				
12	All Data	7febaa9d48701d835852b23176a3eb71	Stu_0820b5c85b07c3c57f0dfc75abb7afaa	DCF15	2020-02-11 22:13:10	America/New_York	7	ATTEMPT				Arithmetic_Operations	jPostDecrement	1	2020-02-11 22:12:53	jPostDecrement-5	2	0	CORRECT								IntDataType		PostDecrementExpression		SimpleAssignmentExpression																Arithmetic_Operations		Single-KC		KC21				
13	All Data	d5b4d5e87d4c4816bc212524025eb775	Stu_0820b5c85b07c3c57f0dfc75abb7afaa	DCF15	2020-02-11 22:13:10	America/New_York	7	ATTEMPT				Arithmetic_Operations	jPostDecrement	1	2020-02-11 22:12:53	jPostDecrement-5	3	1	INCORRECT								IntDataType		PostDecrementExpression		SimpleAssignmentExpression																Arithmetic_Operations		Single-KC		KC21				
14	All Data	f48e9568eb634ca12f5ce2e14558d63f	Stu_0fecbac9c595a6c14ac194fe31085659	1F52D	2019-09-26 16:59:56	America/New_York	0	ATTEMPT				Decisions	jIfelse5	1	2019-09-26 16:59:56	jIfelse5-4	1	1	CORRECT								IntDataType		MultiplyExpression		SimpleAssignmentExpression																Decisions		Single-KC		KC32				
15	All Data	d2e3e96856344acf76a7ed312c40273e	Stu_0fecbac9c595a6c14ac194fe31085659	1F52D	2019-09-26 17:00:01	America/New_York	5	ATTEMPT				Decisions	jIfelse5	1	2019-09-26 16:59:56	jIfelse5-5	1	1	CORRECT								IntDataType		SimpleAssignmentExpression																		Decisions		Single-KC		KC36				
16	All Data	bb014436d7303529dd1b261a83fc994c	Stu_0fecbac9c595a6c14ac194fe31085659	1F52D	2019-09-26 17:00:04	America/New_York	3	ATTEMPT				Decisions	jIfelse5	1	2019-09-26 16:59:56	jIfelse5-15	1	1	CORRECT								IfElseIfStatement		IfElseStatement		SimpleAssignmentExpression																Decisions		Single-KC		KC48				
17	All Data	fb3ed8f4157c173a0fbe1bfe15c685b2	Stu_0fecbac9c595a6c14ac194fe31085659	207D4	2019-10-01 08:46:59	America/New_York	0	ATTEMPT				Loops_while	jWhile3	1	2019-10-01 08:46:59	jWhile3-4	1	1	CORRECT								IntDataType		SimpleAssignmentExpression																		Loops_while		Single-KC		KC12				
18	All Data	c14b9155f07c0a9b4b4d3a9ea0cc9077	Stu_0fecbac9c595a6c14ac194fe31085659	207D4	2019-10-01 08:47:01	America/New_York	2	ATTEMPT				Loops_while	jWhile3	1	2019-10-01 08:46:59	jWhile3-5	1	1	CORRECT								IntDataType		SimpleAssignmentExpression																		Loops_while		Single-KC		KC43				
19	All Data	4eb0ce075a625ef25e2ece08847f468a	Stu_0fecbac9c595a6c14ac194fe31085659	207D4	2019-10-01 08:47:09	America/New_York	8	ATTEMPT				Loops_while	jWhile3	1	2019-10-01 08:46:59	jWhile3-8	1	0	CORRECT								AddAssignmentExpression		WhileStatement																		Loops_while		Single-KC		KC14				
20	All Data	dcda6d8c60fc928a208bbb452fbfe124	Stu_0fecbac9c595a6c14ac194fe31085659	207D4	2019-10-01 08:47:29	America/New_York	10	ATTEMPT				Loops_while	jWhile3	1	2019-10-01 08:46:59	jWhile3-9	1	0	CORRECT								PostIncrementExpression		WhileStatement																		Loops_while		Single-KC		KC8				
21	All Data	91502e4430d9d58e687bb8b6e0c3595f	Stu_0fecbac9c595a6c14ac194fe31085659	207D4	2019-10-01 08:47:29	America/New_York	10	ATTEMPT				Loops_while	jWhile3	1	2019-10-01 08:46:59	jWhile3-9	2	0	INCORRECT								PostIncrementExpression		WhileStatement																		Loops_while		Single-KC		KC8				
