Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Topic)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Concepts)	KC Category (Concepts)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Duration Seconds)	CF (Start Time)	Event Type
1	All Data	7c44388a1b79dbc6f1d47b2f1e6467e4	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:16:55	America/New_York	0	ATTEMPT				Arrays	jArray1	1	2015-03-24 07:16:55	jArray1	1	1	CORRECT								AddAssignmentExpression		ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayVariable		ExpressionStatement		IntDataType		LessExpression		PostIncrementExpression		SimpleAssignmentExpression		SimpleVariable		StatementBlock		VariableInitializationStatement		WhileStatement																																																																										Single-KC		KC8			IS17Spring2015	131.23	1427181546	
2	All Data	5a14ae23a8cdb398bf6918a39d4285f8	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:23:59	America/New_York	424	ATTEMPT				Two-dimensional_Arrays	j2D_Arrays1	1	2015-03-24 07:16:55	j2D_Arrays1	1	0	INCORRECT								AddExpression		ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayVariable		IntDataType		MultiDimensionalArrayDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																		Single-KC		KC87			IS17Spring2015	28.2	1427181867	
3	All Data	4ba354e9a3a893e67138de388a3362c8	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:24:44	America/New_York	45	ATTEMPT				Two-dimensional_Arrays	j2D_Arrays1	1	2015-03-24 07:16:55	j2D_Arrays1	2	0	INCORRECT								AddExpression		ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayVariable		IntDataType		MultiDimensionalArrayDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																		Single-KC		KC87			IS17Spring2015	30.08	1427181914	
4	All Data	71ea191d009a71b239592addd0c58edb	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:25:20	America/New_York	36	ATTEMPT				Two-dimensional_Arrays	j2D_Arrays1	1	2015-03-24 07:16:55	j2D_Arrays1	3	0	INCORRECT								AddExpression		ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayVariable		IntDataType		MultiDimensionalArrayDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																		Single-KC		KC87			IS17Spring2015	52.88	1427181973	
5	All Data	6075bdb1c5decfa295d2152f11366a48	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:26:25	America/New_York	65	ATTEMPT				Two-dimensional_Arrays	j2D_Arrays1	1	2015-03-24 07:16:55	j2D_Arrays1	4	0	INCORRECT								AddExpression		ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayVariable		IntDataType		MultiDimensionalArrayDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																		Single-KC		KC87			IS17Spring2015	45.31	1427182030	
6	All Data	8f0215d5d0a8a82d3f7e2c4e3be11392	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:27:56	America/New_York	91	ATTEMPT				Two-dimensional_Arrays	j2D_Arrays1	1	2015-03-24 07:16:55	j2D_Arrays1	5	0	INCORRECT								AddExpression		ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayVariable		IntDataType		MultiDimensionalArrayDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																		Single-KC		KC87			IS17Spring2015	19.31	1427182095	
7	All Data	2b01a847c6f94c438328423360610ef2	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:28:54	America/New_York	58	ATTEMPT				Two-dimensional_Arrays	j2D_Arrays1	1	2015-03-24 07:16:55	j2D_Arrays1	6	1	CORRECT								AddExpression		ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayVariable		IntDataType		MultiDimensionalArrayDataType		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																																		Single-KC		KC87			IS17Spring2015	67.62	1427182202	
8	All Data	2d5fcf28581f8bdb8588426ce83fb32e	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:31:56	America/New_York	182	ATTEMPT				Arrays	jEnhancedForLoop	1	2015-03-24 07:28:54	jEnhancedForLoop	1	0	INCORRECT								ArrayInitializationStatement		ArrayInitializer		ArrayVariable		ForEachStatement		IfStatement		IntDataType		LessExpression		SimpleAssignmentExpression																																																																																						Single-KC		KC81			IS17Spring2015	168.91	1427182485	
9	All Data	92a430a9aa8aa918533ed4047c3f3206	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:35:53	America/New_York	237	ATTEMPT				Arrays	jEnhancedForLoop	1	2015-03-24 07:28:54	jEnhancedForLoop	2	1	INCORRECT								ArrayInitializationStatement		ArrayInitializer		ArrayVariable		ForEachStatement		IfStatement		IntDataType		LessExpression		SimpleAssignmentExpression																																																																																						Single-KC		KC81			IS17Spring2015	54.58	1427182608	
10	All Data	b89249df4a4ecc10757eec4ab7e988e5	Stu_2135387aa83003b842cdfa4966a97b5a	9	2015-03-24 07:58:01	America/New_York	0	ATTEMPT				Two-dimensional_Arrays	j2D_arrays4	1	2015-03-24 07:58:01	j2D_arrays4	1	0	INCORRECT								ArrayElement		ArrayInitializationStatement		ArrayInitializer		ArrayLength		ArrayVariable		ForStatement		GreaterExpression		IfStatement		IntDataType		LessExpression		MultiDimensionalArrayDataType		PostIncrementExpression		SimpleAssignmentExpression		SimpleVariable		VariableInitializationStatement																																																																								Single-KC		KC39			IS17Spring2015	4.41	1427183885	
